,Symbol,Name,LastSale,Sector
292,AXO,"Axos Financial, Inc.",25.949,Finance
293,AZUL,Azul S.A.,39.11,Transportation
294,AZRE,Azure Power Global Limited,10.45,Public Utilities
295,AZZ,AZZ Inc.,43.02,Consumer Durables
296,BGS,"B&G Foods, Inc.",20.0,Consumer Non-Durables
297,BRPM,B. Riley Principal Merger Corp.,9.79,Finance
300,BW,Babcock,3.51,Capital Goods
302,BMI,"Badger Meter, Inc.",52.8,Capital Goods
304,BHGE,"Baker Hughes, a GE company",23.81,Energy
306,BLL,Ball Corporation,73.25,Consumer Durables
307,BANC,"Banc of California, Inc.",14.2,Finance
310,BBVA,Banco Bilbao Viscaya Argentaria S.A.,4.94,Finance
311,BBD,Banco Bradesco Sa,8.47,Finance
312,BBDO,Banco Bradesco Sa,7.51,Finance
313,BCH,Banco De Chile,27.46,Finance
314,BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",19.91,Finance
315,BSBR,Banco Santander Brasil SA,10.47,Finance
316,BSAC,Banco Santander Chile,27.62,Finance
317,BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.79,Finance
318,SAN,"Banco Santander, S.A.",4.06,Finance
320,CIB,BanColombia S.A.,46.39,Finance
322,BAC,Bank of America Corporation,28.08,Finance
331,BAC^Y,Bank of America Corporation,25.86,Finance
336,BOH,Bank of Hawaii Corporation,80.56,Finance
337,BMO,Bank Of Montreal,71.87,Finance
338,NTB,Bank of N.T. Butterfield & Son Limited (The),28.14,Finance
339,BK,Bank Of New York Mellon Corporation (The),45.06,Finance
341,BNS,Bank of Nova Scotia (The),51.73,Finance
342,BKU,"BankUnited, Inc.",31.62,Finance
343,BCS,Barclays PLC,7.11,Finance
346,MPV,Barings Participation Investors,16.7,Consumer Services
347,BNED,"Barnes & Noble Education, Inc",3.14,Consumer Services
348,BKS,"Barnes & Noble, Inc.",6.5,Consumer Services
349,B,"Barnes Group, Inc.",45.88,Capital Goods
350,GOLD,Barrick Gold Corporation,17.59,Basic Industries
351,BAS,"Basic Energy Services, Inc.",1.5,Energy
352,BHC,Bausch Health Companies Inc.,23.32,Health Care
353,BAX,Baxter International Inc.,81.91,Health Care
354,BTE,Baytex Energy Corp,1.36,Energy
355,BBT,BB&T Corporation,47.37,Finance
361,BBAR,BBVA Banco Frances S.A.,10.86,Finance
362,BBX,BBX Capital Corporation,3.93,Finance
363,BCE,"BCE, Inc.",45.98,Public Utilities
364,BZH,"Beazer Homes USA, Inc.",10.94,Capital Goods
365,BDX,"Becton, Dickinson and Company",236.34,Health Care
366,BDXA,"Becton, Dickinson and Company",58.41,Health Care
367,BDC,Belden Inc,45.0,Basic Industries
368,BHE,"Benchmark Electronics, Inc.",25.92,Technology
371,BHLB,"Berkshire Hills Bancorp, Inc.",29.81,Finance
372,BERY,"Berry Global Group, Inc.",42.63,Consumer Non-Durables
373,BBY,"Best Buy Co., Inc.",66.14,Consumer Services
374,BEST,BEST Inc.,4.77,Transportation
375,BHP,BHP Group Limited,50.43,Basic Industries
376,BBL,BHP Group Plc,43.57,Energy
377,BIG,"Big Lots, Inc.",24.01,Consumer Services
378,BH,Biglari Holdings Inc.,89.76,Consumer Services
380,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,39.57,Health Care
381,BIO,"Bio-Rad Laboratories, Inc.",318.8,Capital Goods
383,BITA,Bitauto Holdings Limited,11.02,Technology
384,BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",23.09,Consumer Services
385,BKH,Black Hills Corporation,77.08,Public Utilities
386,BKI,"Black Knight, Inc.",60.66,Technology
387,BSM,"Black Stone Minerals, L.P.",14.76,Energy
388,BB,BlackBerry Limited,6.85,Technology
454,BLK,"BlackRock, Inc.",431.32,Finance
458,BE,Bloom Energy Corporation,9.62,Energy
459,APRN,"Blue Apron Holdings, Inc.",7.83,Consumer Services
460,BCRH,Blue Capital Reinsurance Holdings Ltd.,7.98,Finance
461,BXG,Bluegreen Vacations Corporation,9.28,Finance
462,BXC,BlueLinx Holdings Inc.,21.83,Capital Goods
468,BA,Boeing Company (The),331.06,Capital Goods
469,BCC,"Boise Cascade, L.L.C.",28.88,Consumer Services
470,BCEI,"Bonanza Creek Energy, Inc.",20.52,Energy
471,BOOT,"Boot Barn Holdings, Inc.",30.44,Consumer Services
472,BAH,Booz Allen Hamilton Holding Corporation,67.36,Consumer Services
473,BWA,BorgWarner Inc.,34.46,Capital Goods
475,SAM,"Boston Beer Company, Inc. (The)",373.23,Consumer Non-Durables
476,BXP,"Boston Properties, Inc.",127.34,Consumer Services
478,BSX,Boston Scientific Corporation,41.36,Health Care
479,BOX,"Box, Inc.",14.78,Technology
480,BYD,Boyd Gaming Corporation,25.37,Consumer Services
481,BPMP,BP Midstream Partners LP,14.97,Energy
482,BP,BP p.l.c.,37.66,Energy
483,BPT,BP Prudhoe Bay Royalty Trust,9.06,Energy
484,BRC,Brady Corporation,49.08,Consumer Durables
485,BHR,Braemar Hotels & Resorts Inc.,8.15,Consumer Services
488,BDN,Brandywine Realty Trust,14.26,Consumer Services
490,LND,Brasilagro Cia Brasileira De Propriedades Agricolas,4.11,Consumer Non-Durables
491,BRFS,BRF S.A.,8.45,Consumer Non-Durables
492,BGG,Briggs & Stratton Corporation,8.61,Energy
493,MNRL,"Brigham Minerals, Inc.",20.0,Energy
494,BFAM,Bright Horizons Family Solutions Inc.,147.8,Miscellaneous
495,BEDU,Bright Scholar Education Holdings Limited,9.08,Consumer Services
496,BSA,BrightSphere Investment Group Inc.,24.28,Finance
497,BSIG,BrightSphere Investment Group Inc.,9.39,Finance
498,BV,"BrightView Holdings, Inc.",18.75,Consumer Non-Durables
499,EAT,"Brinker International, Inc.",39.7,Consumer Services
500,BCO,Brink&#39;s Company (The),85.38,Transportation
501,BMY,Bristol-Myers Squibb Company,45.38,Health Care
502,BTI,British American Tobacco p.l.c.,36.05,Consumer Non-Durables
503,BRX,Brixmor Property Group Inc.,18.32,Consumer Services
504,BR,"Broadridge Financial Solutions, Inc.",121.08,Miscellaneous
505,BKD,Brookdale Senior Living Inc.,7.34,Health Care
506,BAM,Brookfield Asset Management Inc,47.75,Consumer Services
507,BBU,Brookfield Business Partners L.P.,36.75,Basic Industries
510,BIP,Brookfield Infrastructure Partners LP,43.94,Consumer Services
512,BEP,Brookfield Renewable Partners L.P.,35.93,Public Utilities
513,BRO,"Brown & Brown, Inc.",35.28,Finance
516,BRT,BRT Apartments Corp.,13.53,Consumer Services
517,BC,Brunswick Corporation,45.46,Energy
521,BT,BT Group plc,11.39,Public Utilities
522,BPL,Buckeye Partners L.P.,41.62,Energy
523,BKE,"Buckle, Inc. (The)",19.86,Consumer Services
524,BVN,Buenaventura Mining Company Inc.,15.22,Basic Industries
525,BBW,"Build-A-Bear Workshop, Inc.",3.75,Consumer Services
526,BG,Bunge Limited,55.3,Consumer Non-Durables
527,BURL,"Burlington Stores, Inc.",171.73,Consumer Services
528,BWXT,"BWX Technologies, Inc.",48.7,Energy
529,BY,"Byline Bancorp, Inc.",17.61,Finance
530,CJ,"C&J Energy Services, Inc",10.05,Energy
531,GYB,CABCO Series 2004-101 Trust,21.475,Finance
532,PFH,CABCO Series 2004-101 Trust,6.92,Finance
533,CABO,"Cable One, Inc.",1168.58,Consumer Services
534,CBT,Cabot Corporation,39.52,Basic Industries
535,COG,Cabot Oil & Gas Corporation,17.45,Energy
536,CACI,"CACI International, Inc.",205.14,Technology
537,WHD,"Cactus, Inc.",28.09,Energy
538,CADE,Cadence Bancorporation,15.41,Finance
539,CAE,CAE Inc,26.62,Miscellaneous
540,CAI,"CAI International, Inc.",21.47,Technology
543,CAL,"Caleres, Inc.",15.16,Consumer Non-Durables
544,CRC,California Resources Corporation,11.37,Energy
545,CWT,California Water  Service Group Holding,51.78,Public Utilities
546,CALX,"Calix, Inc",5.96,Consumer Services
547,ELY,Callaway Golf Company,17.11,Consumer Non-Durables
548,CPE,Callon Petroleum Company,4.33,Energy
549,CBM,Cambrex Corporation,40.67,Health Care
550,CPT,Camden Property Trust,101.74,Consumer Services
551,CCJ,Cameco Corporation,8.67,Basic Industries
