Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
PM,Philip Morris International Inc,80.26,65.9252,17.860453526040367,Consumer Non-Durables
PMT,PennyMac Mortgage Investment Trust,21.7,18.2105,16.08064516129032,Consumer Services
PNC,"PNC Financial Services Group, Inc. (The)",132.92,115.1627,13.359389106229303,Finance
PNM,"PNM Resources, Inc. (Holding Co.)",48.62,40.5525,16.592965857671732,Public Utilities
PNR,Pentair plc.,36.07,37.4437,-3.8084280565566937,Technology
PNW,Pinnacle West Capital Corporation,91.55,83.8226,8.440633533588207,Public Utilities
POL,PolyOne Corporation,30.24,28.4211,6.01488095238095,Basic Industries
POR,Portland General Electric Company,54.3,45.5278,16.155064456721913,Public Utilities
POST,"Post Holdings, Inc.",99.65,89.13,10.556949322629212,Consumer Non-Durables
PPDF,PPDAI Group Inc.,3.71,3.4348,7.417789757412397,Finance
PPG,"PPG Industries, Inc.",110.96,101.3543,8.656903388608507,Basic Industries
PPL,PPL Corporation,28.98,27.6028,4.752242926155977,Public Utilities
PPX,"PPL Capital Funding, Inc.",25.62,24.62,3.9032006245121003,Public Utilities
PQG,PQ Group Holdings Inc.,14.12,14.81,-4.886685552407942,Basic Industries
PRA,ProAssurance Corporation,37.27,40.2072,-7.880869331902327,Finance
PRGO,Perrigo Company,51.14,38.4149,24.882870551427448,Health Care
PRH,"Prudential Financial, Inc.",25.5,23.33,8.509803921568635,Finance
PRI,"Primerica, Inc.",111.25,97.164,12.661573033707862,Finance
PRLB,"Proto Labs, Inc.",96.14,112.79,-17.318493863116295,Capital Goods
PRO,"PROS Holdings, Inc.",67.42,31.4,53.42628300207654,Technology
PRTY,Party City Holdco Inc.,5.81,9.98,-71.77280550774529,Consumer Services
PRU,"Prudential Financial, Inc.",85.95,79.853,7.093659104130317,Finance
PSA,Public Storage,245.75,198.9144,19.05822990844354,Consumer Services
PSB,"PS Business Parks, Inc.",168.22,129.3047,23.133575080252054,Consumer Services
PSO,"Pearson, Plc",9.84,11.7597,-19.50914634146342,Consumer Services
PSTG,"Pure Storage, Inc. ",13.01,16.08,-23.597232897770933,Technology
PSX,Phillips 66,95.64,84.5587,11.58647009619406,Energy
PSXP,Phillips 66 Partners LP,51.62,40.7328,21.091049980627666,Energy
PTR,PetroChina Company Limited,49.3,61.55,-24.84787018255578,Energy
PUK,Prudential Public Limited Company,36.79,34.6371,5.851861918999735,Finance
PUMP,ProPetro Holding Corp.,16.41,12.32,24.923826934795855,Energy
PVG,"Pretium Resources, Inc.",11.82,8.45,28.51099830795263,Basic Industries
PVH,PVH Corp.,76.6,92.887,-21.262402088772856,Consumer Non-Durables
PWR,"Quanta Services, Inc.",32.66,30.0689,7.93355786895284,Capital Goods
PXD,Pioneer Natural Resources Company,121.84,131.2339,-7.710029546946817,Energy
PYS,PPlus Trust,17.92,14.91,16.796875000000007,Finance
PZN,Pzena Investment Management Inc,7.47,8.1622,-9.26639892904954,Finance
QD,Qudian Inc.,8.39,4.29,48.86769964243147,Finance
QEP,"QEP Resources, Inc.",4.21,5.63,-33.729216152019006,Energy
QES,Quintana Energy Services Inc.,1.65,3.46,-109.69696969696972,Energy
QGEN,Qiagen N.V.,36.33,34.45,5.174786677676839,Health Care
QHC,Quorum Health Corporation,1.58,2.89,-82.91139240506328,Health Care
QSR,Restaurant Brands International Inc.,76.23,51.8852,31.93598320871049,Consumer Services
QTS,"QTS Realty Trust, Inc.",45.53,36.6782,19.441686799912155,Consumer Services
QTWO,"Q2 Holdings, Inc.",73.82,49.55,32.87726903278244,Technology
QUAD,"Quad Graphics, Inc",10.49,11.7507,-12.018112488083888,Miscellaneous
QUOT,Quotient Technology Inc.,10.17,10.68,-5.014749262536871,Consumer Services
R,"Ryder System, Inc.",48.23,47.3161,1.894878706199457,Consumer Services
RACE,Ferrari N.V.,156.78,98.6169,37.098545732874086,Capital Goods
RAD,Rite Aid Corporation,6.88,14.166,-105.90116279069768,Health Care
RBA,Ritchie Bros. Auctioneers Incorporated,34.75,32.3836,6.8097841726618675,Miscellaneous
RBC,Regal Beloit Corporation,75.72,69.8051,7.811542525092449,Consumer Durables
RBS,Royal Bank Scotland plc (The),4.89,5.3644,-9.70143149284254,Finance
RCI,"Rogers Communication, Inc.",51.67,50.5445,2.1782465647377633,Consumer Services
RCL,Royal Caribbean Cruises Ltd.,107.69,96.6579,10.24431237812239,Consumer Services
RCUS,"Arcus Biosciences, Inc.",6.6,10.77,-63.18181818181819,Health Care
RDN,Radian Group Inc.,21.8,16.3561,24.97201834862385,Finance
RDY,Dr. Reddy&#39;s Laboratories Ltd,35.21,37.7,-7.071854586765129,Health Care
RE,"Everest Re Group, Ltd.",239.15,215.1919,10.018022161823124,Finance
RELX,RELX PLC,22.96,20.1827,12.0962543554007,Consumer Services
RENN,Renren Inc.,0.81,1.54,-90.12345679012344,Technology
RES,"RPC, Inc.",5.72,9.7284,-70.0769230769231,Energy
RESI,Front Yard Residential Corporation,11.2,8.594,23.267857142857142,Finance
REV,"Revlon, Inc.",17.45,25.19,-44.35530085959887,Consumer Non-Durables
REVG,"REV Group, Inc.",13.13,7.4345,43.37776085300838,Capital Goods
REX,REX American Resources Corporation,70.67,68.11,3.6224706381774476,Basic Industries
REXR,"Rexford Industrial Realty, Inc.",40.56,29.3173,27.718688362919135,Consumer Services
RF,Regions Financial Corporation,14.56,13.1302,9.820054945054945,Finance
RFP,Resolute Forest Products Inc.,5.06,7.93,-56.71936758893281,Basic Industries
RGA,"Reinsurance Group of America, Incorporated",147.42,139.0804,5.657034323700985,Finance
RGR,"Sturm, Ruger & Company, Inc.",45.18,52.6372,-16.505533421868083,Capital Goods
RGS,Regis Corporation,16.68,16.95,-1.6187050359712205,Consumer Services
RH,RH,134.05,119.82,10.615441999254022,Consumer Services
RHI,Robert Half International Inc.,55.99,56.6248,-1.1337738881943176,Technology
RHP,"Ryman Hospitality Properties, Inc.",72.17,65.9721,8.587917417209372,Consumer Services
RIG,Transocean Ltd.,4.95,6.94,-40.20202020202021,Energy
RIO,Rio Tinto Plc,52.14,45.0759,13.548331415420028,Basic Industries
RJF,"Raymond James Financial, Inc.",75.01,73.755,1.6731102519664174,Finance
RL,Ralph Lauren Corporation,95.73,102.9441,-7.535882168599187,Consumer Non-Durables
RLGY,Realogy Holdings Corp.,4.75,14.4141,-203.45473684210526,Finance
RLH,Red Lion Hotels Corporation,6.5,8.2,-26.153846153846143,Consumer Services
RLI,RLI Corp.,88.3,68.5907,22.32083805209513,Finance
RLJ,RLJ Lodging Trust,16.46,16.0965,2.208383961117873,Consumer Services
RM,Regional Management Corp.,26.18,24.05,8.135981665393427,Finance
RMAX,"RE/MAX Holdings, Inc.",27.24,30.4123,-11.645741556534508,Finance
RMD,ResMed Inc.,126.9,113.0536,10.911268715524036,Health Care
RNG,"Ringcentral, Inc.",131.33,82.44,37.22683316835453,Technology
RNGR,"Ranger Energy Services, Inc.",5.83,5.17,11.320754716981133,Energy
RNR,RenaissanceRe Holdings Ltd.,179.44,133.3871,25.664790459206415,Finance
ROG,Rogers Corporation,139.71,99.06,29.09598453940305,Basic Industries
ROK,"Rockwell Automation, Inc.",150.8,148.7935,1.3305702917771995,Capital Goods
ROL,"Rollins, Inc.",32.15,35.8963,-11.652566096423012,Finance
ROP,"Roper Technologies, Inc.",344.13,265.7053,22.789265684479695,Capital Goods
ROYT,Pacific Coast Oil Trust,2.11,1.5441,26.819905213270133,Energy
RPAI,"Retail Properties of America, Inc.",11.58,10.6999,7.60017271157168,Consumer Services
RPM,RPM International Inc.,65.04,58.0637,10.726168511685131,Basic Industries
RPT,RPT Realty,12.07,11.7239,2.867439933719966,Consumer Services
RRC,Range Resources Corporation,4.64,9.5523,-105.86853448275866,Energy
RRD,R.R. Donnelley & Sons Company,2.0,3.9019,-95.095,Miscellaneous
RRTS,"Roadrunner Transportation Systems, Inc.",9.04,12.4025,-37.19579646017701,Transportation
RS,Reliance Steel & Aluminum Co.,96.64,70.281,27.27545529801324,Basic Industries
RSG,"Republic Services, Inc.",86.87,71.7546,17.400023022907803,Public Utilities
RST,Rosetta Stone,20.4,16.4,19.607843137254903,Technology
RTEC,"Rudolph Technologies, Inc.",25.28,20.47,19.026898734177223,Capital Goods
RTN,Raytheon Company,180.15,152.5543,15.318179295031914,Capital Goods
RUBI,"The Rubicon Project, Inc.",9.84,3.73,62.09349593495934,Technology
RWGE,Regalwood Global Energy Ltd.,10.24,9.82,4.101562499999999,Finance
RWT,"Redwood Trust, Inc.",16.4,14.7857,9.84329268292682,Consumer Services
RXN,Rexnord Corporation,27.42,22.95,16.301969365426704,Technology
RY,Royal Bank Of Canada,75.96,67.2091,11.520405476566598,Finance
RYAM,Rayonier Advanced Materials Inc.,4.89,10.5933,-116.6319018404908,Basic Industries
RYB,"RYB Education, Inc.",5.93,5.84,1.5177065767284967,Consumer Services
RYI,Ryerson Holding Corporation,7.39,6.34,14.208389715832205,Basic Industries
RYN,Rayonier Inc.,28.03,27.4395,2.1066714234748565,Consumer Services
RZA,"Reinsurance Group of America, Incorporated",27.31,25.02,8.3852068839253,Finance
RZB,"Reinsurance Group of America, Incorporated",27.6656,23.55,14.876236192238737,Finance
S,Sprint Corporation,6.66,5.82,12.612612612612612,Public Utilities
SA,"Seabridge Gold, Inc.",15.34,13.23,13.754889178617988,Basic Industries
SAFE,Safehold Inc.,32.58,18.6757,42.67740945365255,Consumer Services
SAH,"Sonic Automotive, Inc.",26.93,13.6642,49.26030449313034,Consumer Durables
